Approved symbol	Approved name	Previous symbols	Synonyms	Chromosome	Accession numbers	RefSeq IDs	Ensembl gene ID	NCBI Gene ID
POGZ	pogo transposable element derived with ZNF domain		"KIAA0461, ZNF635m, ZNF280E"	1q21.3	AB007930	NM_207171	ENSG00000143442	23126
POLA1	"DNA polymerase alpha 1, catalytic subunit"	"POLA, NSX"	p180	Xp22.11-p21.3		NM_016937	ENSG00000101868	5422
POLA2	"DNA polymerase alpha 2, accessory subunit"		FLJ21662	11q13.1	BC002990	NM_002689	ENSG00000014138	23649
POLB	DNA polymerase beta			8p11.21		NM_002690	ENSG00000070501	5423
POLD1	"DNA polymerase delta 1, catalytic subunit"	POLD	CDC2	19q13.3			ENSG00000062822	5424
POLD2	"DNA polymerase delta 2, accessory subunit"			7p13		NM_001127218	ENSG00000106628	5425
POLD2P1	"DNA polymerase delta 2, accessory subunit pseudogene 1"			5q15		NG_021890	ENSG00000213730	391811
POLD3	"DNA polymerase delta 3, accessory subunit"		"P66, KIAA0039, P68, PPP1R128"	11q13.4	D26018	NM_006591	ENSG00000077514	10714
POLD4	"DNA polymerase delta 4, accessory subunit"		"p12, POLDS"	11q13.2	AF179890	NM_021173	ENSG00000175482	57804
POLDIP2	DNA polymerase delta interacting protein 2		"PDIP38, DKFZP586F1524"	17q11.2	AF077203	NM_015584	ENSG00000004142	26073
POLDIP3	DNA polymerase delta interacting protein 3		"PDIP46, KIAA1649, SKAR, PDIP3"	22q13.2		NM_032311	ENSG00000100227	84271
POLE	"DNA polymerase epsilon, catalytic subunit"		POLE1	12q24.33		NM_006231	ENSG00000177084	5426
POLE2	"DNA polymerase epsilon 2, accessory subunit"		DPE2	14q21.3	AF025840	NM_002692	ENSG00000100479	5427
POLE3	"DNA polymerase epsilon 3, accessory subunit"		"CHRAC17, Ybl1, p17, CHARAC17, CHRAC2"	9q32	AF261689	NM_017443	ENSG00000148229	54107
POLE4	"DNA polymerase epsilon 4, accessory subunit"		p12	2p12	AF261688	NM_019896	ENSG00000115350	56655
POLG	"DNA polymerase gamma, catalytic subunit"		"POLG1, POLGA"	15q26.1	X98093	NM_002693	ENSG00000140521	5428
POLG2	"DNA polymerase gamma 2, accessory subunit"		"MTPOLB, HP55"	17q23.3	U94703	NM_007215	ENSG00000256525	11232
POLH	DNA polymerase eta		"RAD30A, XP-V"	6p21.1	AB024313	NM_006502	ENSG00000170734	5429
POLH-AS1	POLH antisense RNA 1		RP3-337H4.8	6p21.1			ENSG00000203362	
POLHP1	DNA polymerase eta pseudogene 1			2q35			ENSG00000232970	
POLI	DNA polymerase iota	"RAD3OB, RAD30B"		18q21.2		NM_007195	ENSG00000101751	11201
POLK	DNA polymerase kappa	DINB1	"POLQ, DINP"	5q13.3	AB027564	NM_016218	ENSG00000122008	51426
POLL	DNA polymerase lambda			10q24.32	AF161019	NM_013274	ENSG00000166169	27343
POLM	DNA polymerase mu		Tdt-N	7p13	AF176097	NM_013284	ENSG00000122678	27434
POLN	DNA polymerase nu			4p16.3	AF044578	NM_181808	ENSG00000130997	353497
POLQ	DNA polymerase theta		POLH	3q13.33	AF052573	NM_199420	ENSG00000051341	10721
POLR1A	RNA polymerase I subunit A		"DKFZP586M0122, FLJ21915, RPO1-4, RPA1"	2p11.2	AK025568	NM_015425	ENSG00000068654	25885
POLR1B	RNA polymerase I subunit B		"Rpo1-2, FLJ21921, FLJ10816, RPA2"	2q14.1	AK001678	NM_019014	ENSG00000125630	84172
POLR1C	RNA polymerase I and III subunit C		"RPA40, RPA39, RPA5, RPAC1"	6p21.1	AF008442	NM_004875	ENSG00000171453	9533
POLR1D	RNA polymerase I and III subunit D		"RPAC2, RPA16, RPO1-3, RPA9, MGC9850"	13q12.2	"AF077044, BC018528"	"NM_015972, NM_152705"	ENSG00000186184	51082
POLR1E	RNA polymerase I subunit E	PRAF1	"FLJ13390, PAF53, FLJ13970"	9p13.2	AK091294	NM_022490	ENSG00000137054	64425
POLR2A	RNA polymerase II subunit A	POLR2	"POLRA, RPB1"	17p13.1		NM_000937	ENSG00000181222	5430
POLR2B	RNA polymerase II subunit B		RPB2	4q12		NM_000938	ENSG00000047315	5431
POLR2C	RNA polymerase II subunit C		RPB3	16q21		NM_032940	ENSG00000102978	5432
POLR2CP1	RNA polymerase II subunit C pseudogene 1	POLR2CP		21q11.2			ENSG00000228600	54038
POLR2D	RNA polymerase II subunit D		RBP4	2q14.3	U85510	NM_004805	ENSG00000144231	5433
POLR2E	RNA polymerase II subunit E		"RPB5, RPABC1, XAP4, hRPB25, hsRPB5"	19p13.3		NM_002695		5434
POLR2F	RNA polymerase II subunit F		"RPB6, HRBP14.4"	22q13.1		NM_021974	ENSG00000100142	5435
POLR2G	RNA polymerase II subunit G		"hRPB19, hsRPB7, RPB7"	11q12.3	U20659	NM_002696	ENSG00000168002	5436
POLR2H	RNA polymerase II subunit H		RPB8	3q27.1		NM_006232	ENSG00000163882	5437
POLR2I	RNA polymerase II subunit I		"RPB9, hRPB14.5"	19q13.12		NM_006233	ENSG00000105258	5438
POLR2J	RNA polymerase II subunit J		"RPB11, hRPB14, RPB11A, RPB11m, POLR2J1"	7q22.1	X98433	NM_006234	ENSG00000005075	5439
POLR2J2	RNA polymerase II subunit J2		RPB11b1	7q22.1			ENSG00000228049	246721
POLR2J3	RNA polymerase II subunit J3			7q22.1		NM_001097615	ENSG00000168255	548644
POLR2J4	"RNA polymerase II subunit J4, pseudogene"		MGC13098	7p13		NR_003655	ENSG00000272655	84820
POLR2K	RNA polymerase II subunit K		RPB10alpha	8q22.2		NM_005034	ENSG00000147669	5440
POLR2KP1	RNA polymerase II subunit K pseudogene 1			12q13.12			ENSG00000258284	
POLR2KP2	RNA polymerase II subunit K pseudogene 2			13q14.2			ENSG00000224510	
POLR2L	RNA polymerase II subunit L		"RPB10beta, RBP10, RPABC5, RPB7.6, hRPB7.6, hsRPB10b"	11p15.5	U37690	NM_021128	ENSG00000177700	5441
POLR2LP1	RNA polymerase II subunit L pseudogene 1	POLR2LP	AB023060.6	6p21.33			ENSG00000238211	493825
POLR2M	RNA polymerase II subunit M	GRINL1A	"Gdown, Gdown1, GCOM1"	15q21.3	AF326773		ENSG00000255529	81488
POLR3A	RNA polymerase III subunit A		"RPC1, RPC155, hRPC155"	10q22.3	AF021351	NM_007055	ENSG00000148606	11128
POLR3B	RNA polymerase III subunit B		"RPC2, FLJ10388"	12q23.3	AY092084	NM_018082	ENSG00000013503	55703
POLR3C	RNA polymerase III subunit C		"RPC62, RPC3"	1q21.1	AJ238234	NM_006468	ENSG00000186141	10623
POLR3D	RNA polymerase III subunit D	BN51T	"TSBN51, RPC4"	8p21.3	M17754	NM_001722	ENSG00000168495	661
POLR3DP1	RNA polymerase III subunit D pseudogene 1			10q22.2		NG_025523	ENSG00000214626	100422384
POLR3E	RNA polymerase III subunit E		"RPC5, SIN, FLJ10509"	16p12.2	AY092085	NM_018119	ENSG00000058600	55718
POLR3F	RNA polymerase III subunit F		"RPC39, RPC6"	20p11.23	U93869	NM_006466	ENSG00000132664	10621
POLR3G	RNA polymerase III subunit G		"RPC32, RPC7"	5q14.3	U93868	NM_006467	ENSG00000113356	10622
POLR3GL	RNA polymerase III subunit G like		"flj32422, MGC3200"	1q21.1	BC004355	NM_032305	ENSG00000121851	84265
POLR3GP1	RNA polymerase III subunit G pseudogene 1			14q32.12			ENSG00000268295	100422395
POLR3GP2	RNA polymerase III subunit G pseudogene 2			18q21.1			ENSG00000266984	100422391
POLR3H	RNA polymerase III subunit H		"RPC8, KIAA1665"	22q13.2	AB051452	NM_138338	ENSG00000100413	171568
POLR3K	RNA polymerase III subunit K		RPC11	16p13.3	AF051316	NM_016310	ENSG00000161980	51728
POLR3KP1	RNA polymerase III subunit K pseudogene 1			13q21.2		NG_023354	ENSG00000232647	100289667
POLR3KP2	RNA polymerase III subunit K pseudogene 2			17q25.1		NG_023353	ENSG00000265469	390811
POLRMT	RNA polymerase mitochondrial		"h-mtRPOL, APOLMT, MTRNAP, MTRPOL"	19p13.3		NM_005035	ENSG00000099821	5442
POLRMTP1	RNA polymerase mitochondrial pseudogene 1	POLRMTL		17q23.2		NG_011773	ENSG00000266066	284167
POM121	POM121 transmembrane nucleoporin		"KIAA0618, DKFZP586G1822, DKFZP586P2220, POM121A"	7q11.23	AB014518		ENSG00000196313	9883
POM121B	POM121 transmembrane nucleoporin B (pseudogene)			7q11.23		NG_013116.1	ENSG00000205578	100288540
POM121C	POM121 transmembrane nucleoporin C			7q11.23		NM_001099415	ENSG00000272391	100101267
POM121L1P	"POM121 transmembrane nucleoporin like 1, pseudogene"	POM121L1		22q11.22		NR_024591	ENSG00000183169	25812
POM121L2	POM121 transmembrane nucleoporin like 2		POM121-L	6p22.1	AL021808	NM_033482	ENSG00000158553	94026
POM121L3P	"POM121 transmembrane nucleoporin like 3, pseudogene"	POM121L3	dJ831C21.3	20p11.21	AL133466	NM_152863	ENSG00000167390	651452
POM121L4P	"POM121 transmembrane nucleoporin like 4, pseudogene"			22q11.2			ENSG00000217261	
POM121L6P	"POM121 transmembrane nucleoporin like 6, pseudogene"		bA239L20.2	6p22.2			ENSG00000243307	729392
POM121L7P	POM121 transmembrane nucleoporin like 7 pseudogene	POM121L7		22q11.21		NG_009026	ENSG00000239511	728418
POM121L8P	"POM121 transmembrane nucleoporin like 8, pseudogene"			22q11.21	"AK292222, AK302597"	NR_024583	ENSG00000229266	29797
POM121L9P	"POM121 transmembrane nucleoporin like 9, pseudogene"			22q11.23	"AL040062, AL117401"	NM_014549	ENSG00000128262	29774
POM121L10P	"POM121 transmembrane nucleoporin like 10, pseudogene"			22q11.23	BX648116	NR_024593	ENSG00000224124	646074
POM121L11P	"POM121 transmembrane nucleoporin like 11, pseudogene"		LOC100129643	22q11.23		XM_001719478		100129643
POM121L12	POM121 transmembrane nucleoporin like 12		DKFZp564N2472	7p12.1		NM_182595	ENSG00000221900	285877
POM121L13P	"POM121 transmembrane nucleoporin like 13, pseudogene"			13q12.3			ENSG00000236339	
POM121L14P	"POM121 transmembrane nucleoporin like 14, pseudogene"			6p11.2			ENSG00000218189	727805
POMC	proopiomelanocortin		"MSH, POC, CLIP, ACTH, NPP, LPH"	2p23.3		NM_001035256	ENSG00000115138	5443
POMGNT1	"protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)"	MEB	"FLJ20277, MGAT1.2, LGMD2O"	1p34.1		NM_017739	ENSG00000085998	55624
POMGNT2	"protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)"	"C3orf39, GTDC2"	"FLJ14566, AGO61"	3p22.1	AK092147	NM_032806	ENSG00000144647	84892
POMK	protein-O-mannose kinase		"FLJ23356, SgK196"	8p11.21		NM_032237	ENSG00000185900	84197
POMP	proteasome maturation protein	C13orf12	"HSPC014, UMP1"	13q12.3	AF077200	NM_015932	ENSG00000132963	51371
POMT1	protein O-mannosyltransferase 1		LGMD2K	9q34.13	AF095136	NM_007171	ENSG00000130714	10585
POMT2	protein O-mannosyltransferase 2		LGMD2N	14q24.3	AF105020	NM_013382	ENSG00000009830	29954
POMZP3	POM121 and ZP3 fusion		"POM-ZP3, POM121"	7q11.23	U10099	NM_012230	ENSG00000146707	22932
PON1	paraoxonase 1	PON	ESA	7q21.3	AF539592	NM_000446	ENSG00000005421	5444
PON2	paraoxonase 2			7q21.3	"M63012, AF001601"	NM_000305	ENSG00000105854	5445
PON3	paraoxonase 3			7q21.3	"L48516, AF320003"	NM_000940	ENSG00000105852	5446
POP1	"POP1 homolog, ribonuclease P/MRP subunit"			8q22.2	D31765	NM_015029	ENSG00000104356	10940
POP4	"POP4 homolog, ribonuclease P/MRP subunit"		RPP29	19q12	BC006098	NM_006627	ENSG00000105171	10775
POP5	"POP5 homolog, ribonuclease P/MRP subunit"			12q24.31	AJ306296	NM_015918	ENSG00000167272	51367
POP7	"POP7 homolog, ribonuclease P/MRP subunit"		"RPP20, RPP2"	7q22.1	U94316	NM_005837	ENSG00000172336	10248
POPDC2	popeye domain containing 2		POP2	3q13.33	AF204173	NM_022135	ENSG00000121577	64091
POPDC3	popeye domain containing 3		"POP3, MGC22671, bA355M14.1"	6q21	BC022323	NM_022361	ENSG00000132429	64208
POR	cytochrome p450 oxidoreductase		"CYPOR, FLJ26468"	7q11.23	AF258341	NM_000941	ENSG00000127948	5447
PORCN	porcupine O-acyltransferase	DHOF	"MG61, PORC, PPN, por"	Xp11.23	AF317058	NM_022825	ENSG00000102312	64840
POSTN	periostin		"OSF-2, PN, periostin"	13q13.3	D13665	NM_006475	ENSG00000133110	10631
POT1	protection of telomeres 1		"hPot1, DKFZp586D211"	7q31.33	AK022580		ENSG00000128513	25913
POT1-AS1	POT1 antisense RNA 1			7q31.33	BX648695		ENSG00000224897	
POTEA	POTE ankyrin domain family member A	A26A1	"POTE8, POTE-8, CT104.3"	8p11.1	AY462869	NM_001002920	ENSG00000188877	340441
POTEB	POTE ankyrin domain family member B	A26B1	"POTE15, POTE-15, CT104.5"	15q11.2	AY465170	NM_207355	ENSG00000233917	100996331
POTEB2	POTE ankyrin domain family member B2			15q11.2			ENSG00000230031	100287399
POTEB3	POTE ankyrin domain family member B3			15q11.2			ENSG00000278522	102724631
POTEC	POTE ankyrin domain family member C	A26B2	"POTE18, POTE-18, DKFZp686J0529, CT104.6"	18p11.21	BX649118	NM_001137671	ENSG00000183206	388468
POTED	POTE ankyrin domain family member D	"ANKRD21, A26B3"	"POTE, POTE-21, POTE21, CT104.1"	21q11.2	AY172978	NM_174981	ENSG00000166351	317754
POTEE	POTE ankyrin domain family member E	A26C1A	"POTE2, POTE-2, A26C1, POTE2gamma, CT104.2"	2q21.1	AY462868	NM_001083538	ENSG00000188219	445582
POTEF	POTE ankyrin domain family member F	A26C1B	"POTEACTIN, POTE2alpha"	2q21.1	EF523384	NM_001099771	ENSG00000196604	728378
POTEG	POTE ankyrin domain family member G	A26C2	"POTE14, POTE-14, POTE14alpha, CT104.4"	14q11.2		NM_001005356	ENSG00000187537	404785
POTEH	POTE ankyrin domain family member H	"ACTBL1, A26C3"	"POTE22, CT104.7"	22q11.1	AY462874	NM_001136213	ENSG00000198062	23784
POTEH-AS1	POTEH antisense RNA 1			22q11.1	AY338953		ENSG00000236666	
POTEI	POTE ankyrin domain family member I		POTE2beta	2q21.1		NM_001277406	ENSG00000196834	653269
POTEJ	POTE ankyrin domain family member J		POTE2beta	2q21.1		NM_001277083	ENSG00000222038	653781
POTEKP	"POTE ankyrin domain family member K, pseudogene"	"ACTBL3, POTEK"	"FKSG30, POTE2delta"	2q21.1	AY014272	NR_033885	ENSG00000204434	440915
POTEM	POTE ankyrin domain family member M		"POTE14beta, P704P, ACT"	14q11.2		NM_001145442	ENSG00000222036	641455
POU1F1	POU class 1 homeobox 1	PIT1	"GHF-1, POU1F1a, PIT-1"	3p11.2	D10216	NM_000306	ENSG00000064835	5449
POU2AF1	POU class 2 associating factor 1		"OBF1, BOB1"	11q23.1		NM_006235		5450
POU2F1	POU class 2 homeobox 1	OTF1	OCT1	1q24.2	BC001664	NM_002697	ENSG00000143190	5451
POU2F2	POU class 2 homeobox 2	OTF2	OCT2	19q13.2				5452
POU2F3	POU class 2 homeobox 3		"OCT11, PLA-1, Skn-1a, Epoc-1"	11q23.3	AF133895		ENSG00000137709	25833
POU3F1	POU class 3 homeobox 1	OTF6	"OCT6, SCIP"	1p34.3	L26494	NM_002699	ENSG00000185668	5453
POU3F2	POU class 3 homeobox 2	OTF7	"POUF3, BRN2, OCT7"	6q16.1	Z11933		ENSG00000184486	5454
POU3F3	POU class 3 homeobox 3		"BRN1, OTF8"	2q12.1			ENSG00000198914	5455
POU3F4	POU class 3 homeobox 4	DFN3	"BRN4, OTF9, DFNX2"	Xq21.1	X82324	NM_000307	ENSG00000196767	5456
POU4F1	POU class 4 homeobox 1	BRN3A	RDC-1	13q31.1	X64624		ENSG00000152192	5457
POU4F2	POU class 4 homeobox 2	BRN3B	Brn-3b	4q31.22	U06233	NM_004575	ENSG00000151615	5458
POU4F3	POU class 4 homeobox 3	"DFNA15, DFNA52, DFNA42"	BRN3C	5q32	U10060	NM_002700	ENSG00000091010	5459
POU5F1	POU class 5 homeobox 1	OTF3	"OCT3, Oct4, MGC22487"	6p21.33	Z11898	NM_002701	ENSG00000204531	5460
POU5F1B	POU class 5 homeobox 1B	"OTF3P1, POU5F1P1"	OTF3C	8q24.21	AF268615	NM_001159542	ENSG00000212993	5462
POU5F1P2	POU class 5 homeobox 1 pseudogene 2			8q22.3		NG_006103	ENSG00000253382	100129512
POU5F1P3	POU class 5 homeobox 1 pseudogene 3	"OTF3L, POU5F1L"	POU5FLC12	12p13.31	AF268617		ENSG00000235602	642559
POU5F1P4	POU class 5 homeobox 1 pseudogene 4		"POU5FLC1, Oct4-pg4"	1q22			ENSG00000237872	645682
POU5F1P5	POU class 5 homeobox 1 pseudogene 5		Oct4-pg5	10q21.3			ENSG00000236375	100009667
POU5F1P6	POU class 5 homeobox 1 pseudogene 6			3q21.3			ENSG00000242551	100009668
POU5F1P7	POU class 5 homeobox 1 pseudogene 7			3q11.2			ENSG00000248365	100009669
POU5F2	"POU domain class 5, transcription factor 2"		"SPRM-1, FLJ25680"	5q15		NM_153216	ENSG00000248483	134187
POU6F1	POU class 6 homeobox 1		"BRN5, MPOU, TCFB1"	12q13.13	AL832881	NM_002702		5463
POU6F2	POU class 6 homeobox 2		RPF-1	7p14.1	U91934	NM_007252	ENSG00000106536	11281
POU6F2-AS1	POU6F2 antisense RNA 1			7p14.1	"AI807878, BX113391"		ENSG00000224122	
POU6F2-AS2	POU6F2 antisense RNA 2		FLJ12971	7p14.1	AK023033		ENSG00000233854	
PP1P	pyrophosphatase (inorganic) 1 pseudogene			3p24.3		NG_002639		151842
PP2D1	protein phosphatase 2C like domain containing 1	C3orf48	FLJ25449	3p24.3	AK058178	NM_144714	ENSG00000183977	151649
PPA1	pyrophosphatase (inorganic) 1	PP	"SID6-8061, Ppase, IOPPP, PP1"	10q22.1	AF154065	NM_021129	ENSG00000180817	5464
PPA2	pyrophosphatase (inorganic) 2		FLJ20459	4q24		NM_176869	ENSG00000138777	27068
PPAN	peter pan homolog		"SSF1, SSF2, SSF, BXDC3"	19p13.2	BC033202	NM_020230	ENSG00000130810	56342
PPAN-P2RY11	PPAN-P2RY11 readthrough			19p13.2	AJ300588	NM_001040664	ENSG00000243207	692312
PPARA	peroxisome proliferator activated receptor alpha	PPAR	"hPPAR, NR1C1"	22q13.31	L02932	NM_001001928	ENSG00000186951	5465
PPARD	peroxisome proliferator activated receptor delta		"NUC1, NUCII, FAAR, NR1C2"	6p21.31	L07592	NM_006238	ENSG00000112033	5467
PPARG	peroxisome proliferator activated receptor gamma		"PPARG1, PPARG2, NR1C3, PPARgamma"	3p25.2	X90563	NM_005037	ENSG00000132170	5468
PPARGC1A	PPARG coactivator 1 alpha	PPARGC1	"PGC1, PGC1A, PGC-1alpha"	4p15.2	AF106698	NM_013261	ENSG00000109819	10891
PPARGC1B	PPARG coactivator 1 beta		"PERC, PGC1B"	5q32	AF468496	NM_133263	ENSG00000155846	133522
PPAT	phosphoribosyl pyrophosphate amidotransferase		"GPAT, PRAT"	4q12		NM_002703	ENSG00000128059	5471
PPATP1	phosphoribosyl pyrophosphate amidotransferase pseudogene 1			3p12.1			ENSG00000241293	100289640
PPATP2	phosphoribosyl pyrophosphate amidotransferase pseudogene 2			Xq21.1			ENSG00000271433	100421601
PPBP	pro-platelet basic protein	THBGB1	"SCYB7, TGB, NAP-2-L1, LA-PF4, MDGF, LDGF, Beta-TG, CTAP3, CXCL7, PBP, b-TG1, TGB1, CTAPIII, NAP-2"	4q13.3	M54995	NM_002704	ENSG00000163736	5473
PPBPP1	pro-platelet basic protein pseudogene 1	PPBPL1	TGB2	4q13.3			ENSG00000250550	728045
PPBPP2	pro-platelet basic protein pseudogene 2	PPBPL2	SPBPBP	4q13.3	L10403		ENSG00000248848	10895
PPCDC	phosphopantothenoylcysteine decarboxylase		"MDS018, FLJ14585"	15q24.2	AK027491	NM_021823	ENSG00000138621	60490
PPCS	phosphopantothenoylcysteine synthetase		FLJ11838	1p34.2	AK021900	NM_024664	ENSG00000127125	79717
PPDPF	pancreatic progenitor cell differentiation and proliferation factor	C20orf149	"dJ697K14.9, exdpf"	20q13.33	AL121829		ENSG00000125534	79144
PPDPFL	pancreatic progenitor cell differentiation and proliferation factor like	C8orf22		8q11.21	BC017981	NM_001007176	ENSG00000168333	492307
PPEF1	protein phosphatase with EF-hand domain 1	PPEF	PPP7CA	Xp22.13	BC036026	NM_006240	ENSG00000086717	5475
PPEF1-AS1	PPEF1 antisense RNA 1			Xp22.13			ENSG00000237221	
PPEF2	protein phosphatase with EF-hand domain 2		PPP7CB	4q21.1	AF023456	NM_006239	ENSG00000156194	5470
PPFIA1	PTPRF interacting protein alpha 1		"LIP.1, LIPRIN"	11q13.3	U22816	NM_003626	ENSG00000131626	8500
PPFIA2	PTPRF interacting protein alpha 2			12q21.31	AF034799		ENSG00000139220	8499
PPFIA2-AS1	PPFIA2 antisense RNA 1			12q21.31		NR_120491	ENSG00000257467	102724663
PPFIA3	PTPRF interacting protein alpha 3		"KIAA0654, LPNA3, MGC126567, MGC126569"	19q13.33	AF034800	NM_003660	ENSG00000177380	8541
PPFIA4	PTPRF interacting protein alpha 4			1q32.1	AF034801	NM_015053	ENSG00000143847	8497
PPFIBP1	PPFIA binding protein 1		"L2, hSGT2, hSgt2p, SGT2"	12p11.23-p11.22	AF034802	NM_003622	ENSG00000110841	8496
PPFIBP2	PPFIA binding protein 2		Cclp1	11p15.4	AF034803	NM_003621	ENSG00000166387	8495
PPH2	primary pulmonary hypertension 2			2q31-q32				89873
PPHLN1	periphilin 1			12q12	AY157850	NM_201515		51535
PPIA	peptidylprolyl isomerase A		CYPA	7p13	X52851	NM_021130	ENSG00000196262	5478
PPIAL4A	peptidylprolyl isomerase A like 4A	"PPIAL4, PPIAL4B"	COAS2	1p11.2	AB084917	NM_001143883	ENSG00000263353	653505
PPIAL4C	peptidylprolyl isomerase A like 4C			1q21.2			ENSG00000263464	653598
PPIAL4D	peptidylprolyl isomerase A like 4D			1q21.1		NM_001164261	ENSG00000256374	645142
PPIAL4E	peptidylprolyl isomerase A like 4E			1q21.1		NM_001144032	ENSG00000271567	730262
PPIAL4F	peptidylprolyl isomerase A like 4F			1q21.1		NM_001164262	ENSG00000279782	728945
PPIAL4G	peptidylprolyl isomerase A like 4G			1q21.2		NM_001123068	ENSG00000236334	644591
PPIAL4H	peptidylprolyl isomerase A like 4H			1q21.1			ENSG00000270339	105371242
PPIAP1	peptidylprolyl isomerase A pseudogene 1	PPIAP		21q21.1			ENSG00000215351	100288185
PPIAP2	peptidylprolyl isomerase A pseudogene 2		bA384D7.2	20p11.21	AL353812		ENSG00000227379	170537
PPIAP3	peptidylprolyl isomerase A pseudogene 3		bA425M5.2	20q11.23	AL109614		ENSG00000235044	170539
PPIAP4	peptidylprolyl isomerase A pseudogene 4			14q21.1			ENSG00000258591	122552
PPIAP5	peptidylprolyl isomerase A pseudogene 5			14q23.1			ENSG00000258996	122842
PPIAP6	peptidylprolyl isomerase A pseudogene 6			14q24.1			ENSG00000258477	319128
PPIAP7	peptidylprolyl isomerase A pseudogene 7	PPIP7		1p21.2	X52858		ENSG00000173810	5489
PPIAP8	peptidylprolyl isomerase A pseudogene 8	PPIP8		12q23.1			ENSG00000225185	341457
PPIAP9	peptidylprolyl isomerase A pseudogene 9	PPIP9	Em:AC006046.3	6p21.33		NG_001025	ENSG00000219797	5491
PPIAP10	peptidylprolyl isomerase A pseudogene 10	"PPIAL2, PPIP10"	CRP	20q13.2	AL354993	NG_001008	ENSG00000224530	140913
PPIAP11	peptidylprolyl isomerase A pseudogene 11	PPIP1		5q14.1	X52856		ENSG00000251495	5483
PPIAP13	peptidylprolyl isomerase A pseudogene 13	PPIP3		10q22.2	X52853		ENSG00000237882	5485
PPIAP14	peptidylprolyl isomerase A pseudogene 14	PPIP4		18p11.31	X52854		ENSG00000264775	5486
PPIAP15	peptidylprolyl isomerase A pseudogene 15	PPIP5		3q13.13	X52855		ENSG00000244196	5487
PPIAP16	peptidylprolyl isomerase A pseudogene 16	PPIP6		3p14.3	X52857		ENSG00000213509	5488
PPIAP17	peptidylprolyl isomerase A pseudogene 17	PPIP11	bA494B22.1	20p12.1	"AL161941, NG_001049"	NG_001049	ENSG00000225622	170540
PPIAP18	peptidylprolyl isomerase A pseudogene 18			3p21.32				729673
PPIAP19	peptidylprolyl isomerase A pseudogene 19		bA108K1.2	10q25.3			ENSG00000228169	390006
PPIAP20	peptidylprolyl isomerase A pseudogene 20			19p13.2			ENSG00000235686	100500737
PPIAP21	peptidylprolyl isomerase A pseudogene 21	PPIAL	dJ269M15.1	20q13.11	AL021395	NG_001566	ENSG00000226038	170536
PPIAP22	peptidylprolyl isomerase A pseudogene 22	PPIAL3	PPIA3L	21q21.1		NG_005752	ENSG00000198618	653214
PPIAP23	peptidylprolyl isomerase A pseudogene 23			13q31.3			ENSG00000214178	390419
PPIAP24	peptidylprolyl isomerase A pseudogene 24			13q33.3			ENSG00000174408	122335
PPIAP25	peptidylprolyl isomerase A pseudogene 25			13q14.13			ENSG00000229303	647085
PPIAP26	peptidylprolyl isomerase A pseudogene 26			13q14.3			ENSG00000150276	121981
PPIAP27	peptidylprolyl isomerase A pseudogene 27			13q12.11			ENSG00000234363	100874405
PPIAP28	peptidylprolyl isomerase A pseudogene 28			13q12.11		NG_011400	ENSG00000226633	390378
PPIAP29	peptidylprolyl isomerase A pseudogene 29			6p22.3		NG_007346	ENSG00000214975	134997
PPIAP30	peptidylprolyl isomerase A pseudogene 30			10p13		NR_036506	ENSG00000206448	100192204
PPIAP31	peptidylprolyl isomerase A pseudogene 31			10p11.22		NG_030116	ENSG00000217094	439953
PPIAP32	peptidylprolyl isomerase A pseudogene 32			10q26.3			ENSG00000233319	101927399
PPIAP33	peptidylprolyl isomerase A pseudogene 33			9p24.1			ENSG00000178654	392285
PPIAP34	peptidylprolyl isomerase A pseudogene 34			1p36.12			ENSG00000234397	101060363
PPIAP35	peptidylprolyl isomerase A pseudogene 35			1p34.1			ENSG00000232369	128192
PPIAP36	peptidylprolyl isomerase A pseudogene 36			1p34.1			ENSG00000236872	
PPIAP37	peptidylprolyl isomerase A pseudogene 37			1q23.3			ENSG00000226003	
PPIAP38	peptidylprolyl isomerase A pseudogene 38			10q25.1			ENSG00000233477	
PPIAP39	peptidylprolyl isomerase A pseudogene 39			10q25.3			ENSG00000230018	
PPIAP40	peptidylprolyl isomerase A pseudogene 40			11p15.4			ENSG00000230593	107984349
PPIAP41	peptidylprolyl isomerase A pseudogene 41			11p11.2			ENSG00000254463	
PPIAP42	peptidylprolyl isomerase A pseudogene 42			11q12.1			ENSG00000213592	100507231
PPIAP43	peptidylprolyl isomerase A pseudogene 43			11q22.1			ENSG00000255059	440063
PPIAP44	peptidylprolyl isomerase A pseudogene 44			12p11.21			ENSG00000258118	
PPIAP45	peptidylprolyl isomerase A pseudogene 45			12q13.11			ENSG00000258116	100506099
PPIAP46	peptidylprolyl isomerase A pseudogene 46			15q24.1			ENSG00000260266	729739
PPIAP47	peptidylprolyl isomerase A pseudogene 47			15q24.2			ENSG00000260815	391532
PPIAP48	peptidylprolyl isomerase A pseudogene 48			16q21			ENSG00000260187	
PPIAP49	peptidylprolyl isomerase A pseudogene 49			16q23.1			ENSG00000260471	
PPIAP50	peptidylprolyl isomerase A pseudogene 50			16q23.1			ENSG00000261330	
PPIAP51	peptidylprolyl isomerase A pseudogene 51			16q23.2			ENSG00000260229	729313
